Michael Beasley,17.2,16.1,.081,.095,-4.3,-1.7,-1.2,0.2,2008
O.J. Mayo,14.2,14.6,.052,.087,-0.9,0.4,0.9,1.9,2008
Russell Westbrook,15.2,17.8,.035,.105,-0.1,2.1,1.3,2.9,2008
Kevin Love,18.3,20.7,.124,.138,-1.1,1.9,0.5,1.7,2008
Eric Gordon,14.9,14.1,.082,.069,-0.4,-0.5,1.1,0.9,2008
Joe Alexander,10.1,2.8,.030,.030,-3.3,-3.7,-0.2,0.0,2008
D.J. Augustin,14.9,11.2,.128,.092,-0.7,-2.6,0.6,-0.2,2008
Brook Lopez,17.9,20.1,.112,.125,0.0,1.9,1.2,3.0,2008
Jerryd Bayless,8.2,14.3,.019,.098,-5.4,-2.5,-0.6,-0.2,2008
Jason Thompson,13.9,14.6,.057,.081,-2.7,-0.9,-0.4,0.7,2008
Brandon Rush,9.0,9.6,.024,.047,-3.4,-1.3,-0.7,0.4,2008
Anthony Randolph,16.9,18.7,.069,.098,-2.5,-1.4,-0.1,0.1,2008
Robin Lopez,11.6,17.6,.083,.158,-2.3,-1.0,0.0,0.3,2008
Marreese Speights,17.9,17.6,.146,.101,-1.7,-3.9,0.1,-0.5,2008
Roy Hibbert,16.1,16.2,.102,.098,-1.3,0.3,0.2,1.2,2008
JaVale McGee,17.0,17.0,.084,.105,-3.1,-1.5,-0.3,0.1,2008
J.J. Hickson,12.5,15.2,.101,.123,-4.5,-2.6,-0.4,-0.2,2008
Ryan Anderson,13.6,18.1,.090,.161,-1.1,1.3,0.3,0.8,2008
Courtney Lee,10.7,12.8,.108,.063,0.5,-0.8,1.2,0.7,2008
Kosta Koufos,15.2,7.7,.112,.014,-1.6,-6.6,0.1,-0.2,2008
George Hill,11.6,14.7,.080,.142,-1.8,1.5,0.1,2.0,2008
Darrell Arthur,11.3,10.5,.055,.031,-3.1,-4.3,-0.4,-0.3,2008
Donte Greene,5.2,11.6,-0.074,.044,-7.8,-2.4,-1.1,-0.2,2008
D.J. White,19.8,25.9,.157,.276,-1.0,3.3,0.0,0.1,2008
J.R. Giddens,26.0,9.2,.201,.021,-0.7,-4.7,0.0,-0.2,2008
Blake Griffin,21.9,23.4,.152,.185,3.2,4.1,4.0,3.7,2009
Hasheem Thabeet,12.9,4.7,.109,.043,-0.4,-3.9,0.4,-0.2,2009
James Harden,14.0,16.4,.124,.156,1.0,2.3,1.3,2.4,2009
Tyreke Evans,18.2,14.4,.097,.036,1.6,-0.5,2.5,0.8,2009
Jonny Flynn,13.0,7.1,.002,-0.064,-3.6,-7.2,-1.0,-1.3,2009
Stephen Curry,16.3,19.4,.077,.128,1.0,1.9,2.2,2.4,2009
Jordan Hill,15.0,14.0,.105,.059,-3.1,-4.4,-0.2,-0.2,2009
DeMar DeRozan,12.5,14.5,.066,.055,-2.8,-2.4,-0.3,-0.3,2009
Terrence Williams,11.5,6.9,-0.007,-0.096,-3.8,-7.3,-0.8,-0.4,2009
Gerald Henderson,9.7,13.2,.056,.068,-4.7,-2.3,-0.2,-0.1,2009
Tyler Hansbrough,14.6,16.4,.070,.118,-4.2,-3.3,-0.3,-0.5,2009
Earl Clark,8.5,10.1,-0.033,.030,-6.9,-6.0,-0.5,-0.5,2009
Austin Daye,12.8,13.0,.067,.070,-2.7,-1.3,-0.2,0.3,2009
James Johnson,10.4,12.6,.054,.036,-2.1,0.0,0.0,0.4,2009
Jrue Holiday,12.3,15.4,.032,.094,-1.8,1.4,0.1,2.5,2009
Ty Lawson,16.4,17.9,.135,.153,0.0,1.9,0.7,2.1,2009
Jeff Teague,11.0,14.6,.042,.083,-4.2,-1.8,-0.4,0.1,2009
Eric Maynor,11.8,12.3,.071,.051,-3.3,-3.7,-0.4,-0.2,2009
Darren Collison,16.5,15.6,.067,.087,-1.7,-0.7,0.2,0.8,2009
Byron Mullens,0.7,3.5,-0.077,-0.113,-10.5,-17.2,-0.1,-0.3,2009
Taj Gibson,13.8,14.3,.103,.143,-0.6,0.0,0.8,0.9,2009
DeMarre Carroll,8.5,8.7,.031,.066,-4.1,-5.8,-0.4,0.0,2009
Wayne Ellington,9.6,8.6,.014,.010,-4.8,-4.6,-1.0,-0.8,2009
Toney Douglas,14.9,15.2,.097,.101,-0.8,0.7,0.3,1.4,2009
John Wall,15.8,17.7,.041,.071,-0.2,0.6,1.2,1.6,2010
Evan Turner,10.8,12.6,.060,.068,-2.4,-1.8,-0.2,0.1,2010
Derrick Favors,13.8,12.6,.091,.083,-2.1,-2.7,0.0,-0.2,2010
