1,Grandlink Square,Partially Furnished Apartment,1367 sqft ,511 Guillemard Road, Ready to move,3,2,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.99 km
2,The Sunny Spring,Fully Furnished Apartment,150 sqft ,50 Lorong 40 Geylang, S$ 5.67 psf,Room,0,S$ 850 /mo,EW9 Aljunied MRT Station,0.85 km
3,Casa Aerata,Fully Furnished Apartment,549 sqft ,9 Lorong 26 Geylang, Available from 1 May,2,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.52 km
4,Guillemard Edge,Condominium,409 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.60 km
5,Guillemard Edge,Partially Furnished Condominium,441 sqft ,38 Lorong 30 Geylang, S$ 4.54 psf,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.60 km
6,Guillemard Edge,Partially Furnished Condominium,560 sqft ,38 Lorong 30 Geylang, S$ 4.20 psf,2,1,"S$ 2,350 /mo",EW9 Aljunied MRT Station,0.60 km
7,Guillemard Edge,Fully Furnished Condominium,517 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,250 /mo",EW9 Aljunied MRT Station,0.60 km
8,Chen Fang Mansions,Fully Furnished Apartment,936 sqft ,26 Lorong 33 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.57 km
9,Paya Lebar Residences,Partially Furnished Apartment,1292 sqft ,27 Paya Lebar Road, Ready to move,3,2,"S$ 3,700 /mo",EW9 Aljunied MRT Station,0.97 km
10,Sims Urban Oasis,Partially Furnished Condominium,250 sqft ,Sims Drive, Ready to move,Studio,0,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.32 km
11,24 Lorong 36 Geylang,Apartment,880 sqft ,(within 0.71 km), Available from 1 May,2,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.71 km
12,Prime Residence,Partially Furnished Condominium,400 sqft ,41 Lorong 22 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.59 km
13,The Waterina,Partially Furnished Apartment,1356 sqft ,67 Lorong 40 Geylang, Available from 1 May,3,2,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.90 km
14,Guillemard Suites,Fully Furnished Apartment,200 sqft ,213 Guillemard Road, Ready to move,1,1,"S$ 1,400 /mo",EW9 Aljunied MRT Station,0.65 km
15,Cosmo,Fully Furnished Apartment,670 sqft ,18 Guillemard Crescent, Ready to move,2,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.82 km
