10,8 Selegie Road,Fully Furnished HDB Apartment,603 sqft ,8 Selegie Road, Ready to move,2,1,"S$ 2,300 /mo",EW12 Bugis MRT Station,0.65 km
11,The Plaza,Fully Furnished Apartment,678 sqft ,7500A Beach Road, Ready to move,1,1,"S$ 2,500 /mo",EW12 Bugis MRT Station,0.50 km
12,Peace Mansions,Fully Furnished Apartment,200 sqft ,1 Sophia Road, Ready to move,Room,0,"S$ 1,500 /mo",EW12 Bugis MRT Station,0.77 km
13,Sophia Hills,Partially Furnished Condominium,571 sqft ,11D Mount Sophia, Ready to move,2,1,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.97 km
14,Parc Sophia,Partially Furnished Apartment,473 sqft ,8 Adis Road, Ready to move,1,1,"S$ 2,500 /mo",EW12 Bugis MRT Station,0.96 km
15,Concourse Skyline,Partially Furnished Condominium,861 sqft ,300 Beach Road, Ready to move,1,1,"S$ 4,000 /mo",EW12 Bugis MRT Station,0.65 km
16,The Bencoolen,Fully Furnished Condominium,828 sqft ,180 Bencoolen Street, S$ 4.11 psf,2,2,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.31 km
17,DUO Residences,Fully Furnished Apartment,710 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.28 km
18,Parc Sophia,Partially Furnished Apartment,732 sqft ,10 Adis Road, Ready to move,2,1,"S$ 2,800 /mo",EW12 Bugis MRT Station,0.96 km
19,Textile Centre,Fully Furnished Apartment,900 sqft ,200 Jalan Sultan, Available from 17 Apr,2,2,"S$ 2,900 /mo",EW12 Bugis MRT Station,0.71 km
0,Concourse Skyline,Condominium,861 sqft ,300 Beach Road, Ready to move,1,1,"S$ 4,300 /mo",EW12 Bugis MRT Station,0.65 km
1,30 Kelantan Road,Fully Furnished HDB Apartment,1000 sqft ,30 Kelantan Road, Ready to move,3,2,"S$ 2,300 /mo",EW12 Bugis MRT Station,0.56 km
2,DUO Residences,Partially Furnished Apartment,969 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,001 /mo",EW12 Bugis MRT Station,0.28 km
3,Sophia Residence,Fully Furnished Condominium,1453 sqft ,5 Sophia Road, Ready to move,3,3,"S$ 7,000 /mo",EW12 Bugis MRT Station,0.74 km
4,Sophia Residence,Fully Furnished Condominium,800 sqft ,9 Sophia Road, Ready to move,2,1,"S$ 3,600 /mo",EW12 Bugis MRT Station,0.74 km
5,DUO Residences,Partially Furnished Apartment,700 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.28 km
6,Mackenzie Regency,Fully Furnished Condominium,550 sqft ,19 Mackenzie Road, Ready to move,1,1,"S$ 2,600 /mo",EW12 Bugis MRT Station,0.85 km
7,DUO Residences,Partially Furnished Apartment,1927 sqft ,1 Fraser Street, Ready to move,4,4,"S$ 12,000 /mo",EW12 Bugis MRT Station,0.28 km
8,Starfire @ Sophia,Partially Furnished Apartment,2200 sqft ,77 Sophia Road, Available from 7 May,3,4,"S$ 5,500 /mo",EW12 Bugis MRT Station,0.94 km
